Name,Mark,Date,Message
Z-SMS,Spam,7/4/2018 17:33,BAREKSA: Silakan tandatangani FPR di : https://m.bareksa.com/reksadana/public/client/register/signature/206859/87899787031_4718_173324
Z-SMS,Spam,7/4/2018 17:35,Terimakasih. Nomor ini telah terdaftar untuk verifikasi transaksi reksa dana. Silakan membuka email Anda untuk informasi selengkapnya. Bareksa: 021-71795239
Z-SMS,Spam,7/9/2018 14:24,Mohon maaf transaksi pembelian/penjualan/pengalihan reksadana Anda di Bareksa no. Order 1807060919 tidak dapat kami proses. Mohon periksa e-mail Anda untuk keterangan lengkapnya
Z-SMS,Spam,7/10/2018 13:21,Mohon maaf transaksi pembelian/penjualan/pengalihan reksadana Anda di Bareksa no. Order 1807061767 tidak dapat kami proses. Mohon periksa e-mail Anda untuk keterangan lengkapnya
Z-SMS,Spam,8/7/2018 14:08,Mohon maaf transaksi reksadana Anda di Bareksa nomor order 1808050057 tidak dapat kami proses. Mohon periksa email Anda untuk keterangan selengkapnya
ZALORA,Spam,1/16/2019 12:32,"Transfer (#294257546) TEPAT Rp 3.451.500. Konfirmasi: https://zlra.co/btsms
 
 
 
 BCA 4500200010
 
 MANDIRI 0700000502224
 
 BRI 039001000472301
 
 BNI 1201420146"
ZALORA,Spam,1/16/2019 15:01,Terima kasih pembayaran order 294257546 diterima! Saat ini kami sedang menyiapkan pesanan Anda. Lacak pesanan klik: http://zlra.co/14ZuitR
ZALORA,Spam,3/29/2019 10:01,Panggilan Terakhir Deal ULTAH Ke-7! EXTRA 25% off tanpa min. belanja! Kode: SMEN7LK5M8. 1x pakai. Berakhir 1 Apr. Cek https://zlra.co/SM19ENTH sekarang!
ZALORA,Spam,3/31/2019 19:10,Transfer order 221167526 sejumlah Rp 899.437 ke BNI Virtual Account No. 8804188700423041 paling lambat hari ini. Cara bayar klik https://zlra.co/VASMS
ZALORA,Spam,4/2/2019 7:51,"Hi, Paket Anda dengan no 221167526-8261 akan dikirim oleh ZALORA hari ini. Silakan menghubungi kurir di no 087778212364 untuk pertanyaan lebih lanjut."
XL-Promo,Spam,9/4/2018 18:52,GRATIS Kartu Perdana 10GB(5GB 3G/4G+5GB Youtube)&20Mnt tlp ke semua operator setiap beli HP Min 1.999.999 di LOTTEMART s/d 30/09/18. S&K berlaku.Info 817 MC077A
XL-Promo,Spam,9/21/2018 17:42,"Diskon sd 15% Xtra Combo 20GB (10GB 3G/4G +10GB Youtube) di Indomaret, Alfamart, Alfamidi& Circle-K dll, tiap Sabtu-Minggu bln Sept18, S&K berlaku. MC086A"
XL-Promo,Spam,9/28/2018 16:40,GRATIS Kartu Perdana 10GB(5GB 3G/4G+5GB Youtube)&20Mnt tlp ke semua operator setiap beli HP Min 1.999.999 di LOTTEMART s/d 30/09/18. S&K berlaku.Info 817 MC077A
XL-Promo,Spam,10/28/2018 16:54,"HANYA DI SHOPEE!Smartphone XTREAM ULTIMA X HANYA 1,2Jutaan!GRATIS UNLIMITED YOUTUBE24Jam Slama1th.Promo sd 31Dec 18.Cek https://bit.ly/2A06NmF MC114A"
XL-Promo,Spam,11/24/2018 16:49,"Promo Pekan Hemat Isi Kuota XL di Indomaret Diskon 10% untuk Axis Bronet dan Xtracombo 20GB hanya 75rb periode 19-24 Nov 2018,S&K berlaku. MC136A"
XL-Promo,Spam,11/28/2018 18:14,"HANYA DI SHOPEE!Smartphone XTREAM ULTIMA X HANYA 1,2Jutaan!GRATIS UNLIMITED YOUTUBE24Jam Slama1th.Promo sd 31Dec 18.Cek https://bit.ly/2A06NmF MC114A"
XL-Promo,Spam,11/30/2018 17:24,"Happy Friday..Dapatkan minuman FamilyMart seharga seribu setiap isi ulang XTRA COMBO 89ribu/Pulsa 100rb di hari Jumat hanya di FamilyMart, S&K berlaku MC097A"
XL-Promo,Spam,12/12/2018 14:04,HANYA HARI INI! DISKON HINGGA 56%! Voucher Data Xtra Combo & Paket Perdana XL. Hanya di SHOPEE 12.12 Jam 12.00 sd 18:00 cek : https://bit.ly/2U3hj4B MC153I
XL-Promo,Spam,12/13/2018 18:09,"Hanya di BUKALAPAK, promo HARBOLNAS XL Diskon s/d 50%. Cuma 4 hari, jadi buruan beli sebelum kehabisan. Klik http://bukl.pk/XLHarbolnas. S&K. MC157A"
XL-Promo,Spam,12/15/2018 16:20,"GRATIS COCA COLA 1Liter setiap isi paket data 89K di Carefour/Transmart di hari Jumat, Sabtu, Minggu, mulai 9Nov2018 sampai 6Jan2019. S&K berlaku. MC116A"
XL-Promo,Spam,12/18/2018 14:05,DISKON HINGGA 56%! Perdana XL + Xtra Combo 10Gb+10Gb. Hanya di SHOPEE. Period 18 - 28 Des. cek : https://bit.ly/2DXGqju MC153O
XL-Promo,Spam,12/19/2018 16:24,"Horee ada bonus kuota 1GB (Iflix & Netflix) tiap isi pulsa XL min 50rb, yuk isi pulsa di Indomaret, Alfamart, Alfamidi & Circle K. S&K berlaku. MC124A"
XL-Promo,Spam,12/22/2018 14:06,DISKON HINGGA 40%! Voucher Data Xtra Combo. Hanya di SHOPEE. Period 17 - 28 Des. cek : https://bit.ly/2OubVn1 MC153L
XL-Promo,Spam,12/23/2018 14:06,DISKON HINGGA 56%! Perdana XL + Xtra Combo 10Gb+10Gb. Hanya di SHOPEE. Period 18 - 28 Des. cek : https://bit.ly/2DXGqju MC153O
XL-Promo,Spam,12/27/2018 14:04,DISKON HINGGA 40%! Voucher Data Xtra Combo. Hanya di SHOPEE. Period 17 - 28 Des. cek : https://bit.ly/2OubVn1 MC153L
XL-Promo,Spam,12/28/2018 14:07,DISKON HINGGA 56%! Perdana XL + Xtra Combo 10Gb+10Gb. Hanya di SHOPEE. Period 18 - 28 Des. cek : https://bit.ly/2DXGqju MC153O
XL-Promo,Spam,1/4/2019 16:04,"GRATIS COCA COLA 1Liter setiap isi paket data 89K di Carefour/Transmart di hari Jumat, Sabtu, Minggu, mulai 23Nov2018 sampai 20Jan2019. S&K berlaku. MC144B"
XL-Promo,Spam,1/5/2019 16:51,"GRATIS COCA COLA 1Liter setiap isi paket data 89K di Carefour/Transmart di hari Jumat, Sabtu, Minggu, mulai 9Nov2018 sampai 6Jan2019. S&K berlaku. MC116A"
XL-Promo,Spam,3/18/2019 17:41,"Perlu PULSA? Langsung aja ke Indomaret, Alfamart, Alfamidi, Circle K, Transmart, Superindo, Hypermart, Lottemart & Shop&Drive terdekat .S&K berlaku. MC212B"
XL-Promo,Spam,3/25/2019 16:59,"Diskon hgga 24Rb utk pmbelian XTRA COMBO VIP di TOKOPEDIA sd 31/3/2019. Dptkan jaringan, Iflix & kuota VIP dr XTRA COMBO VIP di http://tkp.me/0O51. S&K MC204A"
XL-Promo,Spam,3/26/2019 16:38,Disc Rp15rb untuk paket Xtra Combo. Dapatkan skrg di app myXL http://xl.co.id/myXL. Berlaku Senin-Kamis sampai April 2019! S/K berlaku. MC215A
XL-Promo,Spam,3/28/2019 17:12,"Cashback Rp50rb utk pembelian Paket Data apapun dgn Jenius Pay. hanya di app myXL http://xl.co.id/myXL. Berlaku Maret 2019, buruan! S/K berlaku MC211A"
XL-Promo,Spam,3/29/2019 17:02,"Mau internetan atau ganti HP? Promo XL 25Mar - 7Apr2019, pilih produknya & dptkan diskon sd 30% di Official Store XL - Tokopedia https://bit.ly/2YcM1KL MC217A"
